Category,File Name,AI Confidence Score
Excellent (90-100%),mdb134.png,100.0%
Excellent (90-100%),mdb097.png,90.4%
Excellent (90-100%),mdb083.png,96.8%
Excellent (90-100%),mdb054.png,100.0%
Excellent (90-100%),mdb256.png,100.0%
Excellent (90-100%),mdb243.png,96.8%
Excellent (90-100%),mdb257.png,96.4%
Excellent (90-100%),mdb280.png,96.6%
Excellent (90-100%),mdb135.png,96.1%
Excellent (90-100%),mdb309.png,95.6%
Excellent (90-100%),mdb137.png,97.6%
Excellent (90-100%),mdb094.png,100.0%
Excellent (90-100%),mdb282.png,96.7%
Excellent (90-100%),mdb296.png,93.7%
Excellent (90-100%),mdb268.png,98.7%
Excellent (90-100%),mdb254.png,100.0%
Excellent (90-100%),mdb240.png,93.9%
Excellent (90-100%),mdb056.png,94.4%
Excellent (90-100%),mdb081.png,94.6%
Excellent (90-100%),mdb136.png,100.0%
Excellent (90-100%),mdb308.png,92.0%
Excellent (90-100%),mdb320.png,96.6%
Excellent (90-100%),mdb091.png,94.2%
Excellent (90-100%),mdb052.png,92.7%
Excellent (90-100%),mdb287.png,98.7%
Excellent (90-100%),mdb250.png,93.1%
Excellent (90-100%),mdb279.png,94.4%
Excellent (90-100%),mdb292.png,96.7%
Excellent (90-100%),mdb053.png,100.0%
Excellent (90-100%),mdb047.png,96.4%
Excellent (90-100%),mdb090.png,93.0%
Excellent (90-100%),mdb127.png,95.8%
Excellent (90-100%),mdb133.png,98.6%
Excellent (90-100%),mdb319.png,91.7%
Excellent (90-100%),mdb119.png,92.0%
Excellent (90-100%),mdb125.png,91.6%
Excellent (90-100%),mdb131.png,96.8%
Excellent (90-100%),mdb079.png,95.4%
Excellent (90-100%),mdb051.png,90.5%
Excellent (90-100%),mdb045.png,93.3%
Excellent (90-100%),mdb253.png,99.9%
Excellent (90-100%),mdb246.png,96.0%
Excellent (90-100%),mdb252.png,100.0%
Excellent (90-100%),mdb044.png,94.3%
Excellent (90-100%),mdb093.png,90.5%
Excellent (90-100%),mdb180.png,94.2%
Excellent (90-100%),mdb143.png,100.0%
Excellent (90-100%),mdb037.png,97.5%
Excellent (90-100%),mdb023.png,96.5%
Excellent (90-100%),mdb221.png,96.1%
Excellent (90-100%),mdb234.png,90.5%
Excellent (90-100%),mdb022.png,99.9%
Excellent (90-100%),mdb036.png,99.5%
Excellent (90-100%),mdb142.png,95.3%
Excellent (90-100%),mdb183.png,90.2%
Excellent (90-100%),mdb140.png,90.6%
Excellent (90-100%),mdb020.png,95.1%
Excellent (90-100%),mdb034.png,91.0%
Excellent (90-100%),mdb237.png,95.0%
Excellent (90-100%),mdb009.png,93.2%
Excellent (90-100%),mdb141.png,91.5%
Excellent (90-100%),mdb155.png,100.0%
Excellent (90-100%),mdb186.png,94.8%
Excellent (90-100%),mdb179.png,100.0%
Excellent (90-100%),mdb151.png,100.0%
Excellent (90-100%),mdb226.png,92.1%
Excellent (90-100%),mdb024.png,90.5%
Excellent (90-100%),mdb018.png,99.6%
Excellent (90-100%),mdb144.png,100.0%
Excellent (90-100%),mdb187.png,90.4%
Excellent (90-100%),mdb026.png,96.2%
Excellent (90-100%),mdb231.png,100.0%
Excellent (90-100%),mdb219.png,90.7%
Excellent (90-100%),mdb027.png,99.5%
Excellent (90-100%),mdb176.png,99.4%
Excellent (90-100%),mdb229.png,96.2%
Excellent (90-100%),mdb201.png,96.3%
Excellent (90-100%),mdb175.png,90.5%
Excellent (90-100%),mdb161.png,91.6%
Excellent (90-100%),mdb015.png,94.4%
Excellent (90-100%),mdb029.png,98.5%
Excellent (90-100%),mdb216.png,96.1%
Excellent (90-100%),mdb202.png,92.4%
Excellent (90-100%),mdb028.png,98.2%
Excellent (90-100%),mdb160.png,93.7%
Excellent (90-100%),mdb174.png,100.0%
Excellent (90-100%),mdb158.png,99.6%
Excellent (90-100%),mdb212.png,91.4%
Excellent (90-100%),mdb207.png,98.7%
Excellent (90-100%),mdb005.png,91.8%
Excellent (90-100%),mdb171.png,99.4%
Excellent (90-100%),mdb167.png,95.9%
Excellent (90-100%),mdb173.png,96.6%
Excellent (90-100%),mdb007.png,94.0%
Excellent (90-100%),mdb239.png,96.9%
Excellent (90-100%),mdb204.png,100.0%
Excellent (90-100%),mdb238.png,99.8%
Excellent (90-100%),mdb199.png,95.2%
Excellent (90-100%),mdb317.png,100.0%
Excellent (90-100%),mdb061.png,98.4%
Excellent (90-100%),mdb263.png,96.2%
Excellent (90-100%),mdb262.png,90.4%
Excellent (90-100%),mdb289.png,97.0%
Excellent (90-100%),mdb048.png,95.2%
Excellent (90-100%),mdb060.png,100.0%
Excellent (90-100%),mdb128.png,96.4%
Excellent (90-100%),mdb316.png,96.1%
Excellent (90-100%),mdb302.png,99.8%
Excellent (90-100%),mdb102.png,90.2%
Excellent (90-100%),mdb089.png,92.0%
Excellent (90-100%),mdb274.png,90.5%
Excellent (90-100%),mdb077.png,100.0%
Excellent (90-100%),mdb063.png,94.8%
